quote_id,collection_date,advance_days,travel_date,origin,destination,airline,base_fare,taxes,total_fare
1,2026-08-04,1,2026-08-05,DEL,BOM,IndiGo,11404.15,2588.67,13992.82
2,2026-08-04,1,2026-08-05,DEL,BOM,IndiGo,10271.8,2331.63,12603.43
3,2026-08-04,1,2026-08-05,DEL,BOM,IndiGo,10042.47,2279.58,12322.05
4,2026-08-04,1,2026-08-05,DEL,BOM,IndiGo,10079.41,2287.97,12367.38
5,2026-08-04,1,2026-08-05,DEL,BOM,Air India,12930.9,2935.23,15866.13
6,2026-08-04,1,2026-08-05,DEL,BOM,Air India,11395.63,2586.74,13982.37
7,2026-08-04,1,2026-08-05,DEL,BOM,Air India,12701.84,2883.24,15585.08
8,2026-08-04,1,2026-08-05,DEL,BOM,SpiceJet,11389.18,2585.27,13974.45
9,2026-08-04,1,2026-08-05,DEL,BOM,SpiceJet,10685.1,2425.45,13110.55
10,2026-08-04,1,2026-08-05,DEL,BOM,Akasa Air,10035.68,2278.04,12313.72
11,2026-08-04,1,2026-08-05,DEL,BOM,Akasa Air,9494.71,2155.24,11649.95
12,2026-08-04,1,2026-08-05,DEL,BOM,Akasa Air,11420.08,2592.29,14012.37
13,2026-08-04,1,2026-08-05,DEL,BOM,Akasa Air,9672.64,2195.63,11868.27
14,2026-08-04,7,2026-08-11,DEL,BOM,IndiGo,9329.97,2117.84,11447.81
15,2026-08-04,7,2026-08-11,DEL,BOM,IndiGo,8914.23,2023.47,10937.7
16,2026-08-04,7,2026-08-11,DEL,BOM,Air India,10371.77,2354.33,12726.1
17,2026-08-04,7,2026-08-11,DEL,BOM,Air India,8898.35,2019.87,10918.22
18,2026-08-04,7,2026-08-11,DEL,BOM,Air India,8849.61,2008.81,10858.42
19,2026-08-04,7,2026-08-11,DEL,BOM,SpiceJet,7684.28,1744.29,9428.57
20,2026-08-04,7,2026-08-11,DEL,BOM,SpiceJet,7439.51,1688.72,9128.23
21,2026-08-04,7,2026-08-11,DEL,BOM,SpiceJet,7499.74,1702.4,9202.14
22,2026-08-04,7,2026-08-11,DEL,BOM,Akasa Air,7876.05,1787.81,9663.86
23,2026-08-04,7,2026-08-11,DEL,BOM,Akasa Air,7534.33,1710.25,9244.58
24,2026-08-04,15,2026-08-19,DEL,BOM,IndiGo,7524.04,1707.91,9231.95
25,2026-08-04,15,2026-08-19,DEL,BOM,IndiGo,7482.22,1698.42,9180.64
26,2026-08-04,15,2026-08-19,DEL,BOM,IndiGo,6755.54,1533.47,8289.01
27,2026-08-04,15,2026-08-19,DEL,BOM,Air India,7147.06,1622.34,8769.4
28,2026-08-04,15,2026-08-19,DEL,BOM,Air India,8601.87,1952.57,10554.44
29,2026-08-04,15,2026-08-19,DEL,BOM,SpiceJet,6403.94,1453.66,7857.6
30,2026-08-04,15,2026-08-19,DEL,BOM,SpiceJet,7337.5,1665.57,9003.07
31,2026-08-04,15,2026-08-19,DEL,BOM,SpiceJet,7328.73,1663.58,8992.31
32,2026-08-04,15,2026-08-19,DEL,BOM,SpiceJet,7343.52,1666.93,9010.45
33,2026-08-04,15,2026-08-19,DEL,BOM,Akasa Air,6491.58,1473.55,7965.13
34,2026-08-04,15,2026-08-19,DEL,BOM,Akasa Air,7503.31,1703.2,9206.51
35,2026-08-04,30,2026-09-03,DEL,BOM,IndiGo,6439.73,1461.78,7901.51
36,2026-08-04,30,2026-09-03,DEL,BOM,IndiGo,5711.93,1296.57,7008.5
37,2026-08-04,30,2026-09-03,DEL,BOM,Air India,6047.36,1372.71,7420.07
38,2026-08-04,30,2026-09-03,DEL,BOM,Air India,7018.29,1593.11,8611.4
39,2026-08-04,30,2026-09-03,DEL,BOM,Air India,7307.0,1658.64,8965.64
40,2026-08-04,30,2026-09-03,DEL,BOM,SpiceJet,6262.66,1421.58,7684.24
41,2026-08-04,30,2026-09-03,DEL,BOM,SpiceJet,5486.87,1245.48,6732.35
42,2026-08-04,30,2026-09-03,DEL,BOM,Akasa Air,5528.08,1254.84,6782.92
43,2026-08-04,30,2026-09-03,DEL,BOM,Akasa Air,5931.39,1346.39,7277.78
44,2026-08-04,30,2026-09-03,DEL,BOM,Akasa Air,6273.11,1423.96,7697.07
45,2026-08-04,30,2026-09-03,DEL,BOM,Akasa Air,5968.48,1354.81,7323.29
46,2026-08-04,45,2026-09-18,DEL,BOM,IndiGo,5409.95,1228.02,6637.97
47,2026-08-04,45,2026-09-18,DEL,BOM,IndiGo,4545.43,1031.79,5577.22
48,2026-08-04,45,2026-09-18,DEL,BOM,IndiGo,4781.17,1085.3,5866.47
49,2026-08-04,45,2026-09-18,DEL,BOM,IndiGo,5306.1,1204.45,6510.55
50,2026-08-04,45,2026-09-18,DEL,BOM,Air India,5837.39,1325.05,7162.44
51,2026-08-04,45,2026-09-18,DEL,BOM,Air India,5471.95,1242.1,6714.05
52,2026-08-04,45,2026-09-18,DEL,BOM,Air India,5220.9,1185.11,6406.01
53,2026-08-04,45,2026-09-18,DEL,BOM,Air India,6182.4,1403.37,7585.77
54,2026-08-04,45,2026-09-18,DEL,BOM,SpiceJet,5006.02,1136.34,6142.36
55,2026-08-04,45,2026-09-18,DEL,BOM,SpiceJet,4350.14,987.46,5337.6
56,2026-08-04,45,2026-09-18,DEL,BOM,SpiceJet,4344.78,986.24,5331.02
57,2026-08-04,45,2026-09-18,DEL,BOM,Akasa Air,5129.93,1164.46,6294.39
58,2026-08-04,45,2026-09-18,DEL,BOM,Akasa Air,4582.41,1040.18,5622.59
59,2026-08-04,1,2026-08-05,DEL,BLR,IndiGo,10158.67,2305.96,12464.63
60,2026-08-04,1,2026-08-05,DEL,BLR,IndiGo,10688.11,2426.13,13114.24
61,2026-08-04,1,2026-08-05,DEL,BLR,IndiGo,10427.55,2366.99,12794.54
62,2026-08-04,1,2026-08-05,DEL,BLR,IndiGo,10064.39,2284.55,12348.94
63,2026-08-04,1,2026-08-05,DEL,BLR,Air India,13848.6,3143.55,16992.15
64,2026-08-04,1,2026-08-05,DEL,BLR,Air India,12996.66,2950.16,15946.82
65,2026-08-04,1,2026-08-05,DEL,BLR,Air India,12133.83,2754.31,14888.14
66,2026-08-04,1,2026-08-05,DEL,BLR,Air India,11429.37,2594.4,14023.77
67,2026-08-04,1,2026-08-05,DEL,BLR,SpiceJet,10153.27,2304.73,12458.0
68,2026-08-04,1,2026-08-05,DEL,BLR,SpiceJet,11313.63,2568.12,13881.75
69,2026-08-04,1,2026-08-05,DEL,BLR,SpiceJet,11344.25,2575.08,13919.33
70,2026-08-04,1,2026-08-05,DEL,BLR,Akasa Air,11273.22,2558.95,13832.17
71,2026-08-04,1,2026-08-05,DEL,BLR,Akasa Air,11794.99,2677.39,14472.38
72,2026-08-04,7,2026-08-11,DEL,BLR,IndiGo,9235.87,2096.48,11332.35
73,2026-08-04,7,2026-08-11,DEL,BLR,IndiGo,9483.9,2152.79,11636.69
74,2026-08-04,7,2026-08-11,DEL,BLR,IndiGo,9069.77,2058.78,11128.55
75,2026-08-04,7,2026-08-11,DEL,BLR,Air India,8981.69,2038.79,11020.48
76,2026-08-04,7,2026-08-11,DEL,BLR,Air India,10912.92,2477.16,13390.08
77,2026-08-04,7,2026-08-11,DEL,BLR,SpiceJet,8159.84,1852.23,10012.07
78,2026-08-04,7,2026-08-11,DEL,BLR,SpiceJet,9037.31,2051.41,11088.72
79,2026-08-04,7,2026-08-11,DEL,BLR,SpiceJet,7646.04,1735.6,9381.64
80,2026-08-04,7,2026-08-11,DEL,BLR,SpiceJet,9187.66,2085.54,11273.2
81,2026-08-04,7,2026-08-11,DEL,BLR,Akasa Air,8281.47,1879.84,10161.31
82,2026-08-04,7,2026-08-11,DEL,BLR,Akasa Air,7928.39,1799.69,9728.08
83,2026-08-04,7,2026-08-11,DEL,BLR,Akasa Air,8803.92,1998.43,10802.35
84,2026-08-04,15,2026-08-19,DEL,BLR,IndiGo,7499.65,1702.38,9202.03
85,2026-08-04,15,2026-08-19,DEL,BLR,IndiGo,7940.52,1802.45,9742.97
86,2026-08-04,15,2026-08-19,DEL,BLR,IndiGo,6516.83,1479.28,7996.11
87,2026-08-04,15,2026-08-19,DEL,BLR,Air India,8705.33,1976.06,10681.39
88,2026-08-04,15,2026-08-19,DEL,BLR,Air India,8675.75,1969.34,10645.09
89,2026-08-04,15,2026-08-19,DEL,BLR,SpiceJet,7498.46,1702.11,9200.57
90,2026-08-04,15,2026-08-19,DEL,BLR,SpiceJet,6692.49,1519.15,8211.64
91,2026-08-04,15,2026-08-19,DEL,BLR,Akasa Air,7282.11,1652.99,8935.1
92,2026-08-04,15,2026-08-19,DEL,BLR,Akasa Air,7540.44,1711.63,9252.07
93,2026-08-04,15,2026-08-19,DEL,BLR,Akasa Air,6581.9,1494.05,8075.95
94,2026-08-04,30,2026-09-03,DEL,BLR,IndiGo,6337.65,1438.61,7776.26
95,2026-08-04,30,2026-09-03,DEL,BLR,IndiGo,5825.07,1322.25,7147.32
96,2026-08-04,30,2026-09-03,DEL,BLR,Air India,7050.57,1600.44,8651.01
97,2026-08-04,30,2026-09-03,DEL,BLR,Air India,7036.62,1597.27,8633.89
98,2026-08-04,30,2026-09-03,DEL,BLR,SpiceJet,5517.37,1252.41,6769.78
99,2026-08-04,30,2026-09-03,DEL,BLR,SpiceJet,6465.44,1467.62,7933.06
100,2026-08-04,30,2026-09-03,DEL,BLR,SpiceJet,5623.65,1276.53,6900.18
101,2026-08-04,30,2026-09-03,DEL,BLR,Akasa Air,6124.54,1390.23,7514.77
102,2026-08-04,30,2026-09-03,DEL,BLR,Akasa Air,5461.74,1239.78,6701.52
103,2026-08-04,30,2026-09-03,DEL,BLR,Akasa Air,6278.34,1425.14,7703.48
104,2026-08-04,30,2026-09-03,DEL,BLR,Akasa Air,6274.29,1424.23,7698.52
105,2026-08-04,45,2026-09-18,DEL,BLR,IndiGo,4908.02,1114.09,6022.11
106,2026-08-04,45,2026-09-18,DEL,BLR,IndiGo,4718.34,1071.03,5789.37
107,2026-08-04,45,2026-09-18,DEL,BLR,IndiGo,4679.76,1062.28,5742.04
108,2026-08-04,45,2026-09-18,DEL,BLR,IndiGo,5478.85,1243.67,6722.52
109,2026-08-04,45,2026-09-18,DEL,BLR,Air India,5287.01,1200.12,6487.13
110,2026-08-04,45,2026-09-18,DEL,BLR,Air India,6155.71,1397.31,7553.02
111,2026-08-04,45,2026-09-18,DEL,BLR,Air India,5498.56,1248.14,6746.7
112,2026-08-04,45,2026-09-18,DEL,BLR,Air India,5594.15,1269.84,6863.99
113,2026-08-04,45,2026-09-18,DEL,BLR,SpiceJet,5272.83,1196.9,6469.73
114,2026-08-04,45,2026-09-18,DEL,BLR,SpiceJet,5475.47,1242.9,6718.37
115,2026-08-04,45,2026-09-18,DEL,BLR,SpiceJet,4693.54,1065.41,5758.95
116,2026-08-04,45,2026-09-18,DEL,BLR,Akasa Air,4747.72,1077.7,5825.42
117,2026-08-04,45,2026-09-18,DEL,BLR,Akasa Air,4733.81,1074.54,5808.35
118,2026-08-04,45,2026-09-18,DEL,BLR,Akasa Air,4643.63,1054.07,5697.7
119,2026-08-04,1,2026-08-05,BOM,BLR,IndiGo,7560.34,1716.15,9276.49
120,2026-08-04,1,2026-08-05,BOM,BLR,IndiGo,7774.84,1764.84,9539.68
121,2026-08-04,1,2026-08-05,BOM,BLR,IndiGo,8786.65,1994.51,10781.16
122,2026-08-04,1,2026-08-05,BOM,BLR,IndiGo,8814.68,2000.88,10815.56
123,2026-08-04,1,2026-08-05,BOM,BLR,Air India,8889.36,2017.83,10907.19
124,2026-08-04,1,2026-08-05,BOM,BLR,Air India,8463.17,1921.09,10384.26
125,2026-08-04,1,2026-08-05,BOM,BLR,Air India,9520.74,2161.15,11681.89
126,2026-08-04,1,2026-08-05,BOM,BLR,SpiceJet,7437.5,1688.27,9125.77
127,2026-08-04,1,2026-08-05,BOM,BLR,SpiceJet,8102.27,1839.16,9941.43
128,2026-08-04,1,2026-08-05,BOM,BLR,SpiceJet,8222.25,1866.4,10088.65
129,2026-08-04,1,2026-08-05,BOM,BLR,SpiceJet,7493.79,1701.04,9194.83
130,2026-08-04,1,2026-08-05,BOM,BLR,Akasa Air,8608.76,1954.14,10562.9
131,2026-08-04,1,2026-08-05,BOM,BLR,Akasa Air,7541.0,1711.76,9252.76
132,2026-08-04,1,2026-08-05,BOM,BLR,Akasa Air,7250.57,1645.84,8896.41
133,2026-08-04,1,2026-08-05,BOM,BLR,Akasa Air,7632.06,1732.43,9364.49
134,2026-08-04,7,2026-08-11,BOM,BLR,IndiGo,6156.77,1397.55,7554.32
135,2026-08-04,7,2026-08-11,BOM,BLR,IndiGo,6733.47,1528.46,8261.93
136,2026-08-04,7,2026-08-11,BOM,BLR,IndiGo,6780.09,1539.04,8319.13
137,2026-08-04,7,2026-08-11,BOM,BLR,Air India,7814.86,1773.92,9588.78
138,2026-08-04,7,2026-08-11,BOM,BLR,Air India,6789.58,1541.19,8330.77
139,2026-08-04,7,2026-08-11,BOM,BLR,Air India,6728.46,1527.32,8255.78
140,2026-08-04,7,2026-08-11,BOM,BLR,Air India,6933.6,1573.89,8507.49
141,2026-08-04,7,2026-08-11,BOM,BLR,SpiceJet,6427.52,1459.01,7886.53
142,2026-08-04,7,2026-08-11,BOM,BLR,SpiceJet,6629.04,1504.75,8133.79
