id,index_date,index_value
1,2026-08-04,100.0
2,2026-08-05,100.39
3,2026-08-06,101.03
4,2026-08-07,99.41
5,2026-08-08,97.7
6,2026-08-09,95.91
7,2026-08-10,95.18
8,2026-08-11,93.71
9,2026-08-12,93.57
10,2026-08-13,91.88
11,2026-08-14,92.45
12,2026-08-15,92.68
13,2026-08-16,93.51
14,2026-08-17,93.09
15,2026-08-18,91.79
16,2026-08-19,95.47
17,2026-08-20,93.35
18,2026-08-21,97.3
19,2026-08-22,97.15
20,2026-08-23,96.73
21,2026-08-24,98.81
22,2026-08-25,100.09
23,2026-08-26,100.45
24,2026-08-27,98.9
25,2026-08-28,98.84
26,2026-08-29,100.23
27,2026-08-30,97.65
28,2026-08-31,97.74
29,2026-09-01,99.01
30,2026-09-02,96.53
31,2026-09-03,97.81
